method,model_name,window_sec,accuracy,f1,roc_auc,n_folds,notes
Raw + LSTM (10 sec),Raw + LSTM,10,0.7129387492320901,0.7254046904864044,0.7915784786118342,5,LSTM model on z-scored raw EEG 10-sec segments
Raw + LSTM (15 sec),Raw + LSTM,15,0.5856437879372176,0.5852113174433784,0.6987066810722222,5,LSTM model on z-scored raw EEG 15-sec segments
