window_sec,model_name,accuracy,f1,roc_auc,n_folds,notes,method
10.0,SVM RBF,0.8272310011461379,0.8444653228890923,0.9081153461317152,5,Welch relative band-power features with GroupKFold,Welch + Classical ML
10.0,LogisticRegression,0.8018504770593623,0.8106679446177371,0.8848259731250115,5,Welch relative band-power features with GroupKFold,Welch + Classical ML
