method,accuracy,f1,roc_auc
Welch + SVM (10 sec),0.8272310011461379,0.8444653228890923,0.9081153461317152
Raw + PCA + SVM (10 sec),0.7028909271537475,0.7784027681001386,0.807439685496161
Raw + Baseline CNN (10-sec),0.8352667940121972,0.8464947239756736,0.9202965572343562
Raw + LSTM (10-sec),0.7129387492320901,0.7254046904864044,0.7915784786118342
Raw + CNN-LSTM (10-sec),0.7876641192488865,0.8160116095002456,0.8439105167866513
Raw + Deep CNN,0.730581850187065,0.7395942516155675,0.9265612973783044
Raw + Multi-Scale CNN,0.8169484691895033,0.8413765359048864,0.917884965763271
