fold,accuracy,f1,roc_auc
1,0.8639551192145862,0.8790523690773068,0.9128239934684884
2,0.8086544962812712,0.8292094146047073,0.8495126562528681
3,0.7058029689608637,0.7588495575221239,0.7263421967310436
4,0.8279352226720648,0.8648648648648649,0.9192137713047346
5,0.7319727891156462,0.7480818414322251,0.8116599661761216
