fold,accuracy,f1,roc_auc
1,0.9621318373071529,0.9630642954856361,0.9973146044205743
2,0.854631507775524,0.8332040341349883,0.950450632353751
3,0.7719298245614035,0.8259526261585994,0.7861753976081274
4,0.9116059379217274,0.921697549312612,0.9835145596154029
5,0.7496598639455783,0.7604166666666666,0.8836228637550438
