fold,accuracy,f1,roc_auc
1,0.9733520336605891,0.9737569060773481,0.9984890961135539
2,0.6822177146720757,0.7470398277717977,0.9190229262651662
3,0.6673414304993253,0.6329113924050633,0.8257897105431984
4,0.6585695006747638,0.5996835443037974,0.9565795077080318
5,0.6714285714285714,0.7445795875198308,0.9329252462615711
