fold,accuracy,f1,roc_auc
1,0.9803646563814866,0.9804741980474198,0.998011036680733
2,0.861392832995267,0.8646864686468647,0.9517061620073789
3,0.7577597840755735,0.8030718595721339,0.8168522650018671
4,0.9001349527665317,0.9093137254901961,0.9786578845262092
5,0.8217687074829932,0.8154929577464789,0.8764074738903394
